text,conf,x1,y1,x2,y2,block_num,line_num
SIN,42.0,166,328,205,361,2,1
LIANHAP,88.0,207,332,407,353,2,1
SDN,91.0,303,328,356,361,2,1
GHD,85.0,358,328,408,361,2,1
LOT,95.0,182,358,217,389,2,2
"13,",96.0,230,358,256,389,2,2
JALAN,95.0,264,362,328,379,2,2
SIN,89.0,172,407,207,425,3,1
LIANHAP,57.0,213,406,307,424,3,1
SDN,95.0,313,406,357,423,3,1
BHD,82.0,363,405,409,423,3,1
LOT,96.0,184,434,224,451,3,2
"13,",96.0,232,434,258,454,3,2
JALAN,53.0,266,434,331,451,3,2
"IPGH,",53.0,337,433,394,453,3,2
XG,29.0,143,467,173,484,3,3
BATU,93.0,179,467,235,484,3,3
20,80.0,242,467,264,484,3,3
",",88.0,273,481,276,487,3,3
ULU,90.0,283,466,324,483,3,3
YAM,86.0,331,466,376,483,3,3
LAMA,82.0,383,466,439,483,3,3
44300,93.0,141,497,200,513,3,4
BTG,67.0,207,497,248,513,3,4
"KALI,",96.0,255,496,306,516,3,4
"SELANGOR,",82.0,314,496,434,513,3,4
TEL:,92.0,45,527,82,542,3,5
03-80752222{HUNTING,36.0,88,527,286,544,3,5
LINE),94.0,290,527,336,544,3,5
FAX,93.0,341,527,377,542,3,5
02-60752572,32.0,384,526,495,542,3,5
(Company,89.0,131,558,234,582,3,6
Reg,79.0,240,558,279,582,3,6
No:,87.0,285,558,317,576,3,6
264922-D,87.0,336,558,427,576,3,6
),78.0,440,558,445,581,3,6
(GST,89.0,149,592,199,616,3,7
Reg,94.0,206,592,242,616,3,7
No:,87.0,249,592,281,610,3,7
001610832920),82.0,288,592,434,615,3,7
TAX,92.0,212,643,253,661,4,1
INVOICE,95.0,261,643,346,661,4,1
CASH,95.0,46,708,107,726,4,2
CUSTOMER,95.0,113,708,232,727,4,2
Invoice,59.0,44,751,110,769,4,3
No.,93.0,117,751,149,769,4,3
:,47.0,157,754,161,769,4,3
*,55.0,217,748,220,763,4,3
H0003939,55.0,229,751,327,769,4,3
Date:,75.0,47,781,103,799,4,4
2,51.0,219,785,222,799,4,4
08/08/2078,49.0,233,781,337,800,4,4
Cashler#:,58.0,44,813,145,831,4,5
Rh,23.0,286,853,331,889,4,6
Code,95.0,439,862,492,879,4,6
PPD,95.0,46,900,88,918,4,7
4M,42.0,95,901,141,918,4,7
DENLIME,91.0,148,900,240,919,4,7
1.887,95.0,290,937,339,955,4,8
SR,71.0,477,937,505,955,4,8
1.000PC,69.0,60,970,144,988,4,9
x,57.0,178,973,188,988,4,9
2.00,96.0,462,971,502,989,4,9
60234,78.0,48,1015,109,1033,4,10
GARDEN,96.0,114,1015,203,1034,4,10
§.000,86.0,286,1049,337,1080,4,11
SR,91.0,474,1054,503,1071,4,11
1.000PC,19.0,61,1086,146,1104,4,12
x,24.0,181,1089,189,1104,4,12
6.30,49.0,464,1087,504,1105,4,12
Subtotal,93.0,230,1142,306,1161,4,13
:,91.0,315,1146,317,1160,4,13
7.30,95.0,463,1144,503,1161,4,13
Tota’,66.0,61,1188,106,1205,4,14
Sales,7.0,110,1188,165,1205,4,14
SST,84.0,266,1180,308,1215,4,14
:,58.0,317,1192,323,1206,4,14
6.69,80.0,465,1190,507,1207,4,14
Total,94.0,49,1220,95,1238,4,15
Sales,80.0,101,1220,153,1238,4,15
inciueive,40.0,160,1221,241,1239,4,15
of,95.0,248,1221,267,1239,4,15
GST:,95.0,272,1221,320,1239,4,15
7.30,94.0,469,1223,508,1240,4,15
ounding,24.0,114,1254,193,1278,5,1
Adjustment,92.0,198,1255,304,1278,5,1
:,50.0,313,1258,315,1273,5,1
0.00,87.0,465,1256,505,1274,5,1
Payment,92.0,215,1309,298,1332,6,1
:,87.0,306,1313,309,1327,6,1
7.30,96.0,465,1311,505,1329,6,1
Change,96.0,194,1346,266,1369,6,2
Due,93.0,272,1346,310,1363,6,2
:,47.0,319,1350,322,1363,6,2
0.00,94.0,467,1348,507,1365,6,2
Total,10.0,48,1414,94,1432,7,1
item(s):,10.0,101,1415,178,1438,7,1
2,58.0,231,1416,242,1434,7,1
GST,80.0,30,1456,89,1496,8,1
Summary,32.0,90,1456,180,1496,8,1
/,72.0,207,1460,210,1466,8,1
Tae,50.0,465,1466,497,1484,8,1
SR,86.0,45,1496,73,1515,8,2
@6,84.0,104,1497,142,1521,8,2
6.89,87.0,313,1485,364,1526,8,2
04,55.0,469,1501,496,1518,8,2
=<,57.0,51,1670,98,1682,9,1
PLEASE,52.0,105,1670,231,1697,9,1
COME,93.0,238,1670,333,1697,9,1
AGAIN,75.0,339,1671,441,1697,9,1
**,29.0,450,1672,496,1683,9,1
