text,conf,x1,y1,x2,y2,block_num,line_num
CROSS,96.0,159,123,226,141,2,1
CHANNEL,93.0,233,124,328,141,2,1
NEiWORK,20.0,336,124,437,142,2,1
SDN.,96.0,444,125,490,142,2,1
BHD.,95.0,500,125,547,143,2,1
"47,",96.0,202,149,234,171,2,2
JALAN,93.0,240,150,301,167,2,2
MERANTI,91.0,311,150,401,168,2,2
"1,",96.0,412,152,426,172,2,2
SEK.,96.0,436,151,479,168,2,2
"3,",96.0,487,151,504,172,2,2
BANDAR,92.0,201,175,283,193,2,3
UTAMA,92.0,291,175,361,193,2,3
BATANG,92.0,370,176,450,194,2,3
"KALI,",91.0,458,176,508,198,2,3
44300,93.0,187,201,250,219,2,1
BATANG,92.0,258,202,339,220,2,1
"KALI,",92.0,347,202,397,224,2,1
SELANGOR.,96.0,406,202,517,221,2,1
Tel,91.0,147,226,190,246,2,2
:,66.0,178,216,194,259,2,2
03-6057,88.0,198,227,279,245,2,2
9688,82.0,288,228,336,246,2,2
Fax,82.0,365,228,411,246,2,2
:,91.0,401,216,416,259,2,2
03-6057,95.0,419,228,502,246,2,2
9678,96.0,509,229,558,255,2,2
GST,55.0,238,254,279,271,2,3
ID,55.0,284,254,313,271,2,3
:,80.0,304,241,318,281,2,3
001151500288,94.0,320,254,452,271,2,3
Tax,90.0,271,278,319,300,3,1
Invoice,87.0,327,279,416,300,3,1
No.,93.0,434,300,460,315,3,1
:,92.0,468,304,470,314,3,1
BTG-050036,89.0,478,299,586,316,3,1
Qty”,41.0,449,325,484,349,4,1
RM,73.0,513,325,544,350,4,1
Tax,46.0,552,322,601,345,4,1
20MMHERO,44.0,92,352,222,370,4,2
PVC,44.0,229,353,273,370,4,2
CONDUIT,32.0,279,353,381,371,4,2
PIPE,32.0,389,353,438,371,4,2
1,85.0,463,354,469,371,4,2
1.80,85.0,509,354,548,371,4,2
sr,81.0,563,358,584,371,4,2
@,93.0,92,378,112,400,4,3
17000,76.0,122,378,186,396,4,3
154,81.0,93,406,133,439,5,1
PVC,90.0,134,406,178,439,5,1
CONNE:,4.0,185,406,279,439,5,1
TOR,69.0,289,411,358,435,5,1
@,69.0,336,406,348,439,5,1
1.8000,93.0,368,411,431,429,5,1
1,89.0,463,412,469,430,5,1
1.91,73.0,509,412,545,430,5,1
sR,83.0,563,415,584,428,5,1
R,88.0,91,444,105,461,5,2
&,88.0,112,444,125,461,5,2
B-C/CLIP,88.0,133,444,225,462,5,2
8MM,89.0,231,444,281,462,5,2
X,87.0,287,446,302,462,5,2
100PCS,87.0,311,444,391,462,5,2
1,70.0,462,445,469,463,5,2
371,60.0,507,445,545,463,5,2
sR,60.0,563,448,584,461,5,2
CABLE,96.0,90,470,162,488,5,3
CLIPS,93.0,168,470,233,488,5,3
@,93.0,240,470,260,491,5,3
3,86.0,268,470,279,487,5,3
5000,86.0,286,470,333,487,5,3
"3""",91.0,90,501,108,517,5,1
X,92.0,115,501,130,517,5,1
"3""",61.0,137,500,155,518,5,1
2862A1PVCNUTBOX@,61.0,161,501,428,524,5,1
1,68.0,462,502,468,518,5,1
0.53,68.0,506,502,548,519,5,1
sk,58.0,563,505,584,517,5,1
0.5000,96.0,90,526,156,544,5,2
Total,96.0,136,557,183,589,6,1
Amt,28.0,190,557,228,589,6,1
incl.,28.0,228,557,282,589,6,1
GST,89.0,281,561,353,585,6,1
@,89.0,332,557,354,589,6,1
@,92.0,337,552,351,579,6,1
6%,85.0,362,553,392,579,6,1
7.95,38.0,433,548,488,591,6,1
Rounding,94.0,181,582,271,605,6,2
Adjustment,93.0,279,583,403,605,6,2
:,84.0,388,578,405,609,6,2
Total,95.0,213,606,262,624,6,3
Amt,96.0,268,607,307,624,6,3
Payable,96.0,313,606,395,630,6,3
7.95,87.0,444,608,485,626,6,3
PaidAmount:,83.0,267,628,394,646,6,4
1000,96.0,433,630,484,648,6,4
Change,96.0,317,646,395,665,6,5
205,95.0,446,649,486,667,6,5
Naser,4.0,135,688,185,691,6,6
Total,82.0,214,664,280,703,6,6
Qty,82.0,283,664,316,703,6,6
Tender.,60.0,337,673,392,694,6,6
4.00,37.0,425,671,485,692,6,6
{GST,63.0,126,684,177,725,7,1
Summary,96.0,187,694,278,725,7,1
Amount,87.0,348,691,423,719,7,1
i,59.0,126,721,128,734,7,2
THANK,95.0,321,820,399,840,10,1
YOU,96.0,406,820,454,839,10,1
For,96.0,223,844,250,862,10,2
any,96.0,261,848,295,867,10,2
"enquiry,",96.0,302,844,380,867,10,2
please,92.0,390,844,451,867,10,2
&,54.0,461,847,473,861,10,2
mail,96.0,472,843,516,862,10,2
us:,96.0,525,847,552,861,10,2
gowad688@gniail.com,47.0,278,870,498,894,10,3
31/12/2017,96.0,264,897,378,920,10,4
10:33:59,95.0,389,896,474,916,10,4
AM,95.0,481,897,511,915,10,4
