text,conf,x1,y1,x2,y2,block_num,line_num
LIGHTROOM,95.0,180,229,359,265,1,1
GALLERY,96.0,381,241,518,268,1,1
SDN,95.0,543,244,599,270,1,1
BHD,95.0,624,243,681,269,1,1
No:,96.0,239,269,281,294,1,2
"28,",93.0,305,265,344,312,1,2
TALAN,77.0,356,274,437,300,1,2
ASTANA,92.0,455,276,552,302,1,2
1C,80.0,574,278,603,302,1,2
BANDAR,92.0,230,301,329,328,1,3
"RAJA,",92.0,448,308,519,337,1,3
41050,92.0,547,310,626,335,1,3
KLANG,96.0,184,327,278,374,1,1
SELANGOR,92.0,282,331,659,369,1,1
"D.E,",61.0,434,327,514,374,1,1
MALAYSIA,84.0,517,331,659,369,1,1
ROC,90.0,264,367,312,392,1,2
No.,70.0,330,369,390,395,1,2
:,60.0,376,363,399,408,1,2
(1072825-A),69.0,419,371,588,399,1,2
GST,93.0,255,399,303,425,1,3
No.,93.0,304,395,361,441,1,3
:,79.0,377,410,381,427,1,3
000584089600,82.0,399,401,601,432,1,3
Tel:03-3362,81.0,154,427,701,465,1,4
4395,92.0,341,423,427,474,1,4
Fax:03-3362,89.0,426,427,618,465,1,4
4395,96.0,621,423,699,474,1,4
CREDIT,96.0,319,502,439,532,2,1
NOTE,95.0,461,507,539,534,2,1
Station:,96.0,87,539,213,591,2,2
CASHIER,90.0,237,547,354,588,2,2
C/N,96.0,471,557,519,585,2,2
No:,93.0,537,561,580,584,2,2
LCNO0212,55.0,605,561,732,586,2,2
Cashier:,96.0,87,577,213,617,2,3
ANGELA,96.0,237,586,335,613,2,3
Cover,80.0,471,592,552,617,2,3
:,38.0,592,601,596,617,2,3
1,89.0,624,595,630,618,2,3
Bill,87.0,87,610,150,651,2,4
Date,89.0,170,615,236,642,2,4
:,81.0,259,626,263,643,2,4
20/11/2017,96.0,288,619,452,648,2,4
Bill,96.0,87,643,149,672,2,5
Start:,95.0,170,649,263,676,2,5
20/11/2017,96.0,288,651,452,681,2,5
03:57:01,95.0,471,658,598,683,2,5
PM,96.0,620,659,652,684,2,5
Code,97.0,86,711,152,738,3,1
:,84.0,259,725,264,742,3,1
300-E0009,87.0,289,719,435,746,3,1
Name,73.0,86,744,152,771,3,1
:,88.0,259,758,264,774,3,1
ESWARAN,92.0,288,751,402,778,3,1
012-6369400,92.0,421,756,600,781,3,1
Address,96.0,86,778,203,805,3,1
GST,96.0,86,878,135,904,3,1
No.,95.0,153,880,192,905,3,1
YT51129,89.0,87,984,201,1010,3,1
SR,95.0,717,991,748,1014,3,1
YE36,88.0,87,1017,150,1041,4,1
BK,92.0,170,1018,201,1043,4,1
12W,91.0,226,1020,269,1044,4,1
WW,94.0,287,1020,319,1043,4,1
LED,96.0,339,1021,385,1045,4,1
TRACK,96.0,404,1022,483,1047,4,1
LIGHT,96.0,504,1023,582,1048,4,1
-2,25.0,64,1050,100,1074,4,2
*,25.0,153,1054,169,1072,4,2
RM,96.0,188,1052,220,1077,4,2
45.29,93.0,254,1053,334,1077,4,2
UNI,85.0,354,1054,399,1078,4,2
(,54.0,426,1055,432,1078,4,2
5.43)=RM,71.0,487,1056,617,1080,4,2
90.,59.0,667,1056,705,1080,4,2
57,92.0,718,1056,747,1079,4,2
YT52683,84.0,87,1079,202,1120,4,1
SR,96.0,716,1088,747,1112,4,1
YE44,86.0,87,1116,148,1142,4,1
35W,86.0,171,1118,219,1142,4,1
WW,94.0,236,1119,269,1142,4,1
BK,95.0,287,1119,318,1143,4,1
TRACK,96.0,337,1119,417,1144,4,1
HOLDER,96.0,436,1121,534,1145,4,1
1,64.0,91,1151,96,1175,4,1
*,66.0,153,1154,169,1172,4,1
RM,91.0,188,1152,219,1176,4,1
155.66,91.0,242,1152,334,1176,4,1
UNI,90.0,355,1153,399,1177,4,1
(,44.0,425,1153,432,1176,4,1
"9,34)=RM",57.0,486,1154,617,1179,4,1
155.,89.0,654,1147,705,1189,4,1
66,89.0,716,1155,746,1177,4,1
CH50688,91.0,86,1179,200,1221,4,1
SR,96.0,716,1187,747,1211,4,1
IMETER,83.0,91,1218,184,1242,4,1
TRACK-BK,79.0,203,1218,334,1243,4,1
1,74.0,89,1251,96,1275,4,1
*,58.0,152,1254,168,1272,4,1
RM,94.0,187,1251,219,1276,4,1
16.99,94.0,258,1251,334,1275,4,1
UNI,75.0,354,1252,397,1276,4,1
(,38.0,425,1252,431,1275,4,1
1.01)=RM,61.0,490,1253,616,1277,4,1
16.,71.0,652,1247,704,1288,4,1
7%,46.0,703,1247,737,1288,4,1
=,84.0,86,1294,99,1297,5,1
SR,95.0,716,1286,747,1309,5,1
RM39.,86.0,87,1317,157,1341,5,2
80,95.0,169,1317,200,1340,5,2
CONTRA,93.0,219,1317,317,1341,5,2
W,91.0,336,1317,351,1340,5,2
LCNOO211,66.0,371,1317,495,1342,5,2
0,96.0,85,1350,99,1374,5,1
*,88.0,219,1353,235,1371,5,1
UNIT,96.0,420,1350,482,1374,5,1
Sub,95.0,85,1417,132,1442,5,1
Total,95.0,152,1417,232,1442,5,1
:,80.0,374,1423,378,1440,5,1
RM,84.0,585,1417,616,1441,5,1
263.02,77.0,650,1417,745,1441,5,1
Item,87.0,86,1451,148,1476,5,2
Discount,96.0,168,1451,297,1475,5,2
5,75.0,373,1457,378,1473,5,2
i,2.0,450,1455,456,1458,5,2
RM,96.0,585,1449,614,1474,5,2
0720,80.0,682,1450,745,1473,5,2
Service,96.0,84,1484,200,1508,5,3
Charge,76.0,218,1483,317,1511,5,3
:,76.0,373,1489,378,1506,5,3
RM,96.0,585,1482,615,1506,5,3
"0),",66.0,678,1477,704,1523,5,3
00,80.0,715,1483,745,1505,5,3
GST/TAX,90.0,84,1514,199,1543,5,4
6%,96.0,218,1516,250,1540,5,4
:,61.0,373,1522,377,1539,5,4
RM,54.0,585,1515,615,1539,5,4
15.,54.0,668,1509,704,1548,5,4
78,92.0,707,1509,744,1548,5,4
TOT’,70.0,83,1569,156,1598,5,5
:,78.0,212,1577,218,1596,5,5
RM,91.0,430,1568,467,1594,5,5
278.80,91.0,510,1567,625,1594,5,5
"CAS1,",40.0,83,1607,161,1635,5,1
:,61.0,212,1614,218,1633,5,1
RM,92.0,430,1604,466,1631,5,1
278.80,95.0,510,1604,624,1630,5,1
CHANGE:,94.0,83,1639,218,1682,5,2
RM,51.0,429,1641,481,1688,5,2
0.,51.0,532,1640,580,1688,5,2
00,78.0,583,1636,626,1692,5,2
Ttem,77.0,84,1734,146,1760,6,1
Count:,96.0,166,1732,260,1756,6,1
4,96.0,284,1730,297,1754,6,1
Qty,96.0,82,1768,130,1796,6,2
Count,90.0,149,1765,231,1789,6,2
:,89.0,255,1770,259,1787,6,2
4.0,96.0,284,1762,331,1787,6,2
Closed,96.0,82,1816,182,1845,7,1
Bill:,96.0,200,1815,276,1841,7,1
20/11/2017,96.0,300,1809,464,1840,7,1
04:01:23,96.0,483,1810,614,1835,7,1
PM,97.0,632,1810,664,1834,7,1
"You,",96.0,184,1883,238,1912,8,1
Please,95.0,267,1881,365,1906,8,1
come,96.0,385,1887,448,1903,8,1
again.,96.0,467,1885,554,1906,8,1
Tene,1.0,82,1880,159,1954,8,2
Sold,95.0,182,1916,248,1942,8,2
are,96.0,267,1922,315,1939,8,2
not,95.0,334,1918,377,1938,8,2
"refundable,",90.0,402,1904,570,1946,8,2
returnable,96.0,584,1904,745,1946,8,2
BANK,96.0,81,1952,146,1980,8,3
ACC,95.0,165,1950,215,1976,8,3
MBB,94.0,233,1948,282,1973,8,3
5128,94.0,301,1946,364,1970,8,3
4851,96.0,384,1945,445,1969,8,3
2118,96.0,466,1943,530,1982,8,3
BANK,96.0,81,1986,146,2014,8,4
ACC,90.0,168,1983,215,2007,8,4
MBB,93.0,232,1981,281,2006,8,4
5626,88.0,301,1978,364,2003,8,4
4732,88.0,384,1977,447,2013,8,4
1744,39.0,456,1976,528,2012,8,4
BANK,96.0,80,2018,146,2047,8,5
ACC,90.0,164,2016,214,2042,8,5
AMBANK,90.0,232,2012,330,2040,8,5
888,96.0,349,2011,397,2035,8,5
100,95.0,420,2010,463,2034,8,5
123,96.0,486,2009,530,2033,8,5
3706,96.0,550,2002,611,2041,8,5
GST,96.0,80,2071,130,2099,9,1
Summary,95.0,148,2070,263,2096,9,1
Amount,96.0,315,2063,411,2089,9,1
(RM),89.0,422,2059,475,2087,9,1
Tax,18.0,532,2060,578,2084,9,1
(RM),86.0,587,2053,639,2094,9,1
‘,49.0,417,2130,420,2136,10,1
5.,90.0,583,2125,595,2139,10,1
78,95.0,614,2123,644,2148,10,1
SR,91.0,80,2139,113,2167,10,2
@,91.0,130,2138,146,2162,10,2
6%,79.0,164,2136,197,2161,10,2
"263,",90.0,382,2123,438,2166,10,2
02,96.0,448,2127,475,2151,10,2
15,81.0,567,2126,595,2150,10,2
ZR/0S/EZ,62.0,80,2163,213,2209,10,3
0.,90.0,400,2156,437,2198,10,3
00,90.0,448,2160,479,2184,10,3
0.,83.0,565,2152,603,2194,10,3
00,83.0,613,2156,643,2181,10,3
