text,conf,x1,y1,x2,y2,block_num,line_num
B,50.0,329,45,361,108,1,1
psez.,64.0,380,69,499,118,1,1
190,91.0,250,116,322,162,1,2
Gerbang,92.0,45,198,137,225,2,1
Alaf,92.0,152,198,202,222,2,1
Restaurants,96.0,218,200,363,223,2,1
Sdn,96.0,378,200,416,223,2,1
Bhd,96.0,431,200,469,224,2,1
(65351-M),88.0,194,232,308,258,2,2
formerly,96.0,139,264,244,291,2,3
known,96.0,258,264,323,288,2,3
as,96.0,338,271,363,288,2,3
Golden,96.0,32,296,110,320,2,4
Arches,96.0,125,296,203,320,2,4
Restaurants,96.0,218,297,363,321,2,4
Sdn,95.0,378,298,416,321,2,4
Bhd,96.0,431,298,470,322,2,4
Licensee,96.0,113,330,217,353,2,5
of,96.0,232,329,256,353,2,5
McDonald's,95.0,272,330,403,354,2,5
Level,96.0,6,361,67,385,2,6
"6,",93.0,85,362,107,388,2,6
Bangunan,93.0,125,363,230,389,2,6
"TH,",96.0,245,363,280,389,2,6
Damansara,93.0,299,364,416,387,2,6
Uptown3,92.0,431,365,523,390,2,6
"No.3,",96.0,6,395,67,421,2,7
Jalan,93.0,85,395,150,418,2,7
"$S21/39,47406",25.0,165,395,336,422,2,7
Petaling,96.0,352,396,456,423,2,7
Jaya,96.0,472,398,523,423,2,7
Selangor,96.0,205,427,310,455,2,8
(GST,96.0,101,459,150,486,2,9
ID,96.0,167,461,191,483,2,9
No:,95.0,207,461,240,484,2,9
000504664064),65.0,259,461,427,484,2,9
McDonald's,92.0,32,491,164,515,2,10
Petronas,96.0,179,493,284,516,2,10
Taman,95.0,299,494,363,517,2,10
Melati,96.0,378,494,453,516,2,10
OT,64.0,471,495,496,517,2,10
Tel,95.0,113,524,148,548,2,11
No.,92.0,167,526,201,548,2,11
:,89.0,224,533,227,548,2,11
03-4147-3107,92.0,246,526,403,549,2,11
TAX,93.0,193,559,231,581,2,12
INVOICE,95.0,248,559,337,583,2,12
MFY,93.0,206,625,245,648,3,1
Side,96.0,259,625,311,648,3,1
1,95.0,328,626,335,648,3,1
INV#,60.0,7,689,55,712,4,1
_.141900016842,38.0,75,690,271,714,4,1
ORD,96.0,6,722,44,745,4,2
#90,92.0,59,723,98,751,4,2
-REG,92.0,114,723,164,745,4,2
#19-,92.0,179,724,230,746,4,2
18/01/2018,95.0,248,723,377,754,4,2
