text,conf,x1,y1,x2,y2,block_num,line_num
PETROH,19.0,164,116,244,137,1,1
BKT,91.0,258,115,297,137,1,1
LANJAN,91.0,312,115,390,137,1,1
SB,95.0,404,114,430,136,1,1
ALSERKAM,91.0,164,146,269,169,1,2
ENTERPRISE,96.0,285,145,415,168,1,2
Tel:,95.0,44,178,92,201,2,1
03-6156,95.0,111,179,202,201,2,1
8757,91.0,217,179,269,200,2,1
Co,89.0,311,179,336,200,2,1
No:,92.0,352,179,385,200,2,1
001083069-M,66.0,417,177,562,200,2,1
KM,96.0,124,211,149,232,2,2
458.4,84.0,164,210,230,232,2,2
BKT,89.0,244,210,282,232,2,2
LANJAN,92.0,299,210,376,232,2,2
"UTARA,",92.0,390,209,466,234,2,2
L/RAYA,92.0,99,241,176,267,2,3
UTARA,92.0,191,242,256,264,2,3
"SELATAN,SG",91.0,271,241,402,266,2,3
BULOH,86.0,417,241,482,263,2,3
47000,93.0,191,273,256,296,3,1
SUNGAT,91.0,271,273,348,296,3,1
BUL,91.0,364,273,402,295,3,1
GST,96.0,138,337,176,359,3,2
ID,95.0,192,337,216,359,3,2
No:,81.0,232,337,266,358,3,2
001210736640,95.0,284,336,442,359,3,2
TAX,92.0,218,400,257,422,3,3
INVOICE,92.0,272,399,364,422,3,3
TAX,94.0,32,496,70,518,3,4
INVOICE,94.0,86,495,176,518,3,4
NO:,95.0,192,495,226,517,3,4
19729058,96.0,247,495,349,517,3,4
POS:,94.0,31,527,80,550,3,5
4,87.0,114,528,120,538,3,5
Store,92.0,32,559,97,582,4,1
No.:,92.0,112,559,160,581,4,1
129077,92.0,194,558,270,581,4,1
01/02/2018,86.0,32,590,163,616,4,2
4:43:17,75.0,204,590,296,613,4,2
PH,96.0,311,590,336,613,4,2
A,88.0,32,690,43,708,5,1
2,93.0,71,686,83,709,5,1
double,93.0,111,685,190,709,5,1
",mint",91.0,208,687,269,711,5,1
te,96.0,285,687,310,708,5,1
A,40.0,32,721,43,739,5,2
1,45.0,74,719,80,740,5,2
sandwich,93.0,112,717,217,741,5,2
venil],61.0,231,717,307,740,5,2
GST,92.0,72,782,110,805,6,1
RM:,81.0,125,782,160,804,6,1
Total,95.0,72,813,134,837,6,2
RM,92.0,152,814,177,837,6,2
inc.G3T:,38.0,194,814,293,836,6,2
Cash,96.0,72,878,124,901,7,1
Change,96.0,72,910,150,936,7,2
8ST,21.0,32,974,70,997,8,1
Summary,95.0,86,974,177,1000,8,1
Amount,49.0,245,974,322,996,8,1
(RM),90.0,341,972,387,999,8,1
A=6.00%,44.0,32,1007,124,1029,8,2
"4,62",84.0,246,1006,297,1028,8,2
A,92.0,33,1071,43,1092,9,1
ITAL,96.0,108,1070,150,1092,9,1
INCLUDES,96.0,166,1070,270,1092,9,1
6.00%,96.0,285,1069,350,1092,9,1
GST,94.0,378,1069,416,1091,9,1
Use,96.0,152,1168,190,1190,9,2
3000,96.0,205,1168,257,1190,9,2
Petron,96.0,272,1167,350,1190,9,2
Miles,96.0,365,1166,430,1189,9,2
points,95.0,178,1200,257,1226,10,1
to,96.0,272,1200,297,1222,10,1
pay,96.0,312,1205,350,1225,10,1
for,97.0,365,1198,403,1221,10,1
RM45,84.0,232,1232,284,1254,10,2
Fuel,93.0,300,1230,347,1254,10,2
Ta,95.0,458,973,482,995,11,1
0.2,89.0,457,1004,496,1027,12,1
Babu,96.0,497,556,549,580,13,1
3.00,86.0,510,684,562,707,14,1
1.90,95.0,513,716,562,739,14,2
0.28,95.0,510,780,562,803,15,1
4.90,75.0,510,812,562,835,15,2
5.00,96.0,510,877,562,899,16,1
0.10,93.0,510,908,562,931,16,2
x,82.0,484,978,495,994,17,1
(RM),82.0,512,971,560,997,17,1
8,93.0,497,1004,509,1027,17,2
