text,conf,x1,y1,x2,y2,block_num,line_num
.,33.0,261,343,268,350,1,1
"2811,",38.0,289,326,353,356,1,1
JALAN,88.0,374,322,442,349,1,1
"ANGSA,",86.0,458,320,538,350,1,1
ANAN,81.0,260,365,315,389,1,2
BERKELEY,96.0,332,343,443,388,1,2
44750,49.0,206,404,297,428,1,1
"KLANG,",94.0,297,404,370,434,1,1
SELANGOR,93.0,390,399,503,427,1,1
a,9.0,236,443,303,506,1,1
eu,17.0,302,443,359,506,1,1
ALAM,53.0,392,439,473,466,1,1
2,94.0,448,424,475,476,1,1
a,45.0,56,494,87,531,1,1
GST,66.0,179,483,219,507,1,1
"1D,",74.0,239,483,274,508,1,1
NO,79.0,283,466,323,518,1,1
2,50.0,338,489,344,507,1,1
QOGIG1747712,8.0,365,476,534,507,1,1
#,66.0,143,286,169,331,2,1
SPEED,60.0,187,287,257,331,2,1
HART,77.0,271,289,326,314,2,1
5/8,49.0,344,288,384,313,2,1
Tater,20.0,192,325,257,348,2,2
8,8.0,487,322,499,332,2,2
TAN,87.0,246,365,286,388,2,3
”,7.0,137,554,140,557,3,1
FNYOICE,27.0,168,563,266,589,3,1
NO;,41.0,282,563,310,587,3,1
19292/202/70541,34.0,327,553,562,586,3,1
2973,91.0,90,725,146,750,5,1
PEDIASURE,77.0,162,721,289,748,5,1
COMPLETE,93.0,305,716,417,744,5,1
385,66.0,434,713,474,739,5,1
(169,59.0,90,766,132,792,5,2
HILO,41.0,148,764,206,789,5,2
2707,44.0,94,807,150,832,8,1
TING,60.0,166,804,223,829,8,1
HEING,86.0,238,799,337,827,8,1
GAT,83.0,314,789,363,837,8,1
&,83.0,382,797,393,820,8,1
WHEAT,90.0,409,793,477,818,8,1
"Ria,",4.0,551,788,603,811,8,1
10,57.0,610,784,633,808,8,1
3,48.0,651,789,663,806,8,1
7693,26.0,95,847,152,873,8,2
DISHEY,64.0,168,842,252,870,8,2
OS112,27.0,269,839,338,866,8,2
tie,21.0,339,798,408,861,8,2
NECK,79.0,424,833,477,858,8,2
RHS.87,16.0,552,823,634,849,8,2
=,41.0,653,828,664,845,8,2
4385,88.0,98,887,155,912,8,3
JORNSGHS,31.0,172,881,283,909,8,3
20H,41.0,385,874,436,899,8,3
86,39.0,458,871,481,896,8,3
RHS.99,59.0,556,862,637,889,8,3
$,51.0,655,867,667,884,8,3
Total,89.0,103,964,203,992,9,1
Sales,72.0,205,963,260,987,9,1
{inclusive,81.0,279,955,416,983,9,1
GST),71.0,432,949,484,975,9,1
Kit,37.0,504,947,530,970,9,1
Rounding,51.0,220,998,332,1028,9,2
Adjustment,13.0,348,992,488,1021,9,2
Ri,73.0,494,986,532,1011,9,2
Rounding,94.0,379,1030,492,1058,9,3
RH,34.0,508,1025,535,1049,9,3
CASH,95.0,439,1066,493,1093,9,1
RM,58.0,509,1064,536,1090,9,1
CHARGE,94.0,413,1106,495,1134,9,1
RH,65.0,512,1104,539,1128,9,1
GST,42.0,117,1208,158,1235,11,1
Summary,28.0,174,1205,274,1231,11,1
2,34.0,118,1257,130,1275,11,2
=,85.0,147,1255,159,1266,11,2
"Ad,",45.0,175,1245,204,1265,11,2
160.47,62.0,407,1221,488,1263,11,2
9.64,49.0,617,1214,669,1240,11,2
Thank,95.0,202,1360,268,1388,12,1
You.,92.0,284,1356,335,1381,12,1
come,85.0,455,1349,510,1369,12,1
agzin,14.0,528,1338,596,1369,12,1
Keep,27.0,127,1411,184,1439,12,2
the,93.0,202,1404,241,1429,12,2
jrivoice,43.0,259,1395,356,1424,12,2
for,70.0,374,1390,412,1415,12,2
applicable,57.0,430,1379,568,1416,12,2
returns,88.0,585,1378,681,1400,12,2
