text,conf,x1,y1,x2,y2,block_num,line_num
3180301,96.0,62,33,172,53,1,1
SECURE,95.0,84,136,162,156,2,1
PARKING,95.0,180,136,273,156,2,1
CORPORATION,93.0,84,168,231,188,2,2
S/B,91.0,249,168,287,187,2,2
Riverwalk,96.0,84,198,203,217,2,3
Village,96.0,221,199,314,221,2,3
Batu,96.0,84,229,136,248,2,4
"3,",95.0,153,230,173,249,2,4
Jalan,95.0,194,229,259,248,2,4
Ipoh,89.0,280,229,328,251,2,4
51200,93.0,84,258,149,277,2,5
KL.,89.0,167,260,200,277,2,5
GSTNo.,83.0,84,288,159,308,2,1
000296652800,71.0,167,288,328,308,2,1
TEL,96.0,83,319,121,339,2,2
No:,95.0,140,319,173,338,2,2
1300881698,95.0,197,319,329,339,2,2
RECEIPT,96.0,84,345,177,379,2,3
C13,50.0,250,350,287,369,2,3
Receipt,96.0,85,411,177,434,3,1
Number:,96.0,195,411,284,431,3,1
KO13,81.0,85,442,136,462,3,2
1800235097,74.0,145,442,274,462,3,2
ENTRY,96.0,86,503,151,522,4,1
TIME:,41.0,172,504,229,522,4,1
23.03.18,94.0,86,533,192,551,4,2
14:59,92.0,270,532,330,551,4,2
EXIT,92.0,86,562,135,581,4,3
fIME:,30.0,159,562,216,581,4,3
23.03.18,75.0,86,591,192,611,4,4
PARK-OUR.:,73.0,86,622,216,642,4,5
0:HH:MM,12.0,238,623,331,642,4,5
0:00:28,84.0,238,653,330,673,5,1
KIND,93.0,87,715,138,734,6,1
Of,89.0,155,716,172,734,6,1
PAYMENT:,74.0,197,715,299,734,6,1
CASH,96.0,87,746,138,765,6,2
Parking,95.0,87,776,179,798,7,1
Fee,96.0,197,777,234,795,7,1
RM,95.0,307,778,332,795,7,1
0.94,90.0,280,804,330,823,7,2
Add,96.0,86,834,125,852,7,3
GS],71.0,142,833,175,852,7,3
RM,96.0,307,834,332,852,7,3
0.06,94.0,280,863,331,881,7,4
*AMT,79.0,87,887,137,921,7,5
RM,96.0,308,892,332,911,7,5
1.0u,17.0,284,922,331,941,7,6
*Rate,88.0,88,952,152,971,8,1
incl.,90.0,174,952,231,971,8,1
6%,96.0,253,952,277,971,8,1
GST,96.0,294,952,329,971,8,1
THANK,92.0,88,1012,152,1031,9,1
YUU,95.0,170,1013,207,1031,9,1
FUR,60.0,225,1014,263,1031,9,1
YOUR,50.0,280,1012,331,1031,9,1
VISIT,95.0,169,1042,235,1061,9,2
