text,conf,x1,y1,x2,y2,block_num,line_num
SWC,93.0,61,184,135,221,2,1
ENTERPRISE,93.0,146,184,355,210,2,1
SDN,96.0,366,184,431,210,2,1
BHD,95.0,440,184,512,210,2,1
ay,52.0,44,215,123,242,2,2
(1125830-V),71.0,209,217,365,243,2,2
no.,84.0,78,272,117,285,3,1
"5-7,",90.0,139,265,192,290,3,1
Jalan,86.0,213,265,285,285,3,1
Mahagoni,92.0,302,265,419,290,3,1
"7/1,",96.0,437,264,492,290,3,1
Sekysen,91.0,64,298,166,324,3,2
"4,",96.0,184,299,209,324,3,2
Bandar,96.0,228,298,316,319,3,2
"Utama,",96.0,333,298,417,324,3,2
44300,91.0,438,298,511,318,3,2
Batang,91.0,123,328,211,354,3,3
"Kali,",95.0,228,328,297,354,3,3
Selangor.,96.0,318,328,447,354,3,3
Tel,90.0,154,364,196,384,3,1
:,84.0,217,370,223,384,3,1
03-6057,93.0,243,364,346,384,3,1
1377,95.0,366,364,421,384,3,1
TAX,94.0,230,402,276,422,5,1
INVOICE,87.0,286,402,387,423,5,1
(GST,91.0,91,435,145,460,5,2
ID,96.0,166,435,191,455,5,2
No.,89.0,208,436,247,456,5,2
:,89.0,271,441,277,455,5,2
002017808384),96.0,297,435,486,461,5,2
08/01/2018,96.0,39,476,188,498,5,3
Cashier:,95.0,357,477,471,497,5,3
123,96.0,493,477,534,497,5,3
11:07:06,61.0,43,512,158,533,5,4
No:0100080332,79.0,343,512,535,533,5,4
Item/Desc.,47.0,42,558,185,593,6,1
Qty,92.0,250,563,293,589,6,1
Price,92.0,340,563,413,584,6,1
Amt.,88.0,474,563,529,584,6,1
_,13.0,13,609,23,622,6,2
20X30,63.0,32,603,116,625,6,2
BEG,92.0,133,605,176,626,6,2
1KG91X30)},26.0,195,605,322,631,6,2
2OX30,51.0,41,643,115,665,6,3
1K6,43.0,134,644,176,665,6,3
i,70.0,284,646,292,665,6,3
8.00,93.0,356,645,414,665,6,3
8.00,92.0,476,645,534,666,6,3
Total,94.0,73,683,145,704,7,1
Qty,88.0,162,684,206,710,7,1
:,88.0,226,690,232,704,7,1
1,81.0,315,684,322,704,7,1
TOTAL,96.0,40,739,137,760,7,2
AMOUNT,95.0,145,740,268,760,7,2
8.00,93.0,475,737,534,758,7,2
CASH,94.0,40,776,118,796,7,3
10.00,96.0,463,773,534,794,7,3
CHANGE,96.0,39,818,172,842,7,4
"2,00",95.0,475,822,534,842,7,4
G,84.0,40,869,56,895,7,5
26%,52.0,96,865,147,901,7,5
Included,73.0,150,869,349,895,7,5
In,93.0,255,865,282,901,7,5
Totel,25.0,285,869,348,895,7,5
0.45,84.0,474,866,534,887,7,5
Thank,94.0,55,908,128,929,8,1
You,93.0,146,909,189,929,8,1
!,77.0,210,909,214,929,8,1
Please,96.0,235,908,324,929,8,1
Come,96.0,340,909,398,929,8,1
Again,92.0,414,909,487,935,8,1
!,79.0,510,909,514,928,8,1
Goods,93.0,86,939,161,971,9,1
Sold,93.0,177,940,233,961,9,1
Gnly,41.0,251,940,309,966,9,1
Exchangable,91.0,325,939,489,966,9,1
Within,95.0,175,974,263,995,9,2
3,78.0,280,974,292,995,9,2
Days,85.0,310,974,368,1000,9,2
>),15.0,390,974,483,1007,9,2
ae,41.0,430,946,584,1024,9,2
