text,conf,x1,y1,x2,y2,block_num,line_num
CROSS,96.0,158,131,225,148,1,1
CHANNEL,95.0,233,130,328,148,1,1
NETWORK,95.0,335,130,436,148,1,1
SDN.,95.0,443,130,490,148,1,1
BHD.,95.0,500,130,548,148,1,1
"47,",96.0,201,157,233,178,1,2
JALAN,93.0,240,156,300,175,1,2
MERANTI,91.0,310,156,400,175,1,2
"1,",96.0,411,157,426,178,1,2
SEK.,95.0,435,156,478,174,1,2
"3,",95.0,486,156,504,177,1,2
BANDAR,91.0,200,181,282,200,1,3
UTAMA,91.0,291,181,361,200,1,3
BATANG,92.0,369,181,450,200,1,3
"KALI,",95.0,457,181,508,203,1,3
44300,93.0,186,208,249,226,1,1
BATANG,92.0,258,207,339,226,1,1
"KALI,",96.0,347,207,397,229,1,1
SELANGOR.,96.0,406,207,517,226,1,1
Tel,79.0,146,233,175,253,1,2
:,84.0,185,238,189,252,1,2
03-6057,95.0,198,234,280,252,1,2
9688,90.0,288,234,337,252,1,2
Fax,90.0,365,234,398,253,1,2
:,91.0,408,238,411,252,1,2
03-6057,96.0,419,234,502,252,1,2
9678,96.0,510,234,559,252,1,2
GST,84.0,239,260,279,278,1,3
ID,84.0,285,260,303,277,1,3
:,91.0,310,265,314,276,1,3
001151500288,92.0,320,260,452,277,1,3
Tax,68.0,271,284,320,307,2,1
Invoice,61.0,327,285,416,306,2,1
No.,92.0,434,305,461,321,2,1
:,90.0,469,310,471,320,2,1
BTG-052332,91.0,478,304,588,321,2,1
Qly__RM,25.0,449,331,546,355,3,1
Tax,88.0,554,331,590,349,3,1
SCHNEIDER,88.0,91,359,222,378,3,2
E15R,88.0,229,360,283,378,3,2
13ASWITCH,37.0,293,359,421,378,3,2
1,71.0,463,359,470,377,3,2
6.36,71.0,508,359,550,377,3,2
sA,64.0,565,363,586,376,3,2
SOCKET,96.0,91,386,184,405,3,3
OUTLET,93.0,189,386,281,404,3,3
@,93.0,287,386,307,408,3,3
6.0000,94.0,314,385,379,404,3,3
Total,95.0,125,416,185,448,4,1
Amt,23.0,192,416,230,448,4,1
incl.,23.0,229,416,274,448,4,1
GST,74.0,283,420,328,439,4,1
@,74.0,336,416,353,448,4,1
6%:,79.0,364,421,406,439,4,1
6.36,79.0,447,422,488,440,4,1
Roun,44.0,183,437,231,488,4,2
Adjustment:,92.0,281,441,406,465,4,2
-0.01,59.0,439,444,485,462,4,2
at,33.0,243,461,267,508,4,3
6.35,89.0,446,467,488,485,4,3
988,29.0,435,488,489,524,5,1
Goods,95.0,132,700,192,719,7,1
sold,96.0,199,699,237,719,7,1
are,96.0,245,704,276,719,7,1
not,96.0,283,700,315,719,7,1
refundable,96.0,323,699,426,719,7,1
nor,93.0,434,704,464,719,7,1
exchangeble.,92.0,472,699,600,723,7,1
For,96.0,202,727,232,746,7,2
any,96.0,239,731,274,751,7,2
"enquiry,",95.0,281,727,359,751,7,2
please,95.0,369,726,430,751,7,2
e-mail,93.0,438,726,495,746,7,2
us:,96.0,504,731,532,745,7,2
gowa9688@qmail.com,40.0,256,753,477,777,7,3
29/01/2018,96.0,249,780,365,803,7,4
4:40:40,96.0,371,780,448,800,7,4
PM,96.0,456,780,484,799,7,4
——,19.0,447,833,620,880,8,1
