text,conf,x1,y1,x2,y2,block_num,line_num
tan,96.0,119,60,170,83,1,1
chay,93.0,183,42,258,91,1,1
yee,96.0,268,65,324,91,1,1
OJC,82.0,64,123,96,136,2,1
MARKETING,96.0,104,123,212,136,2,1
SDN,96.0,219,123,255,136,2,1
BHD,96.0,263,123,299,136,2,1
ROC,95.0,105,146,139,159,2,2
NO:,93.0,145,146,173,158,2,2
538358-H,90.0,180,145,259,158,2,2
NO,96.0,87,168,108,180,2,3
2,86.0,114,168,122,181,2,3
&,86.0,129,168,140,180,2,3
"4,",96.0,145,168,159,183,2,3
JALAN,93.0,165,168,211,180,2,3
BAYU,93.0,219,168,257,180,2,3
"4,",96.0,264,168,277,182,2,3
BANDAR,92.0,105,189,167,202,2,4
SERI,92.0,173,189,207,202,2,4
"ALAM,",96.0,214,189,260,204,2,4
81750,95.0,99,211,145,224,2,5
"MASAI,",95.0,153,211,205,226,2,5
JOHOR,96.0,212,211,265,224,2,5
Tel:07-388,72.0,52,232,133,245,2,6
2218,92.0,140,232,176,245,2,6
Fax:07-388,37.0,184,232,267,245,2,6
8218,75.0,274,232,310,245,2,6
Email:,93.0,90,253,133,266,2,7
ng@ojegroup.com,86.0,140,253,274,269,2,7
Cash,96.0,146,296,185,310,3,1
Bill,96.0,193,295,218,310,3,1
“Yavoice,33.0,16,322,77,340,3,2
No,33.0,85,327,101,339,3,2
PEGIV-1030531,33.0,134,327,238,340,3,2
Date,96.0,22,346,63,370,3,3
02/01/2019,95.0,134,349,222,364,3,3
2:47:14,95.0,229,349,286,362,3,3
PM,96.0,295,350,314,362,3,3
Cashier,96.0,23,366,80,392,4,1
:,22.0,125,373,127,383,4,1
RHYS,88.0,135,370,173,383,4,1
TAN,90.0,179,370,210,383,4,1
Sales,93.0,30,392,66,404,4,2
Persor,79.0,74,392,116,404,4,2
:,72.0,125,396,127,404,4,2
FATIN,89.0,135,392,178,404,4,2
_De,26.0,16,429,38,455,8,1
tion,57.0,69,431,99,455,8,1
si,30.0,132,431,140,455,8,1
Qy,59.0,155,433,178,451,8,1
Price,93.0,201,428,241,452,8,1
it,66.0,302,430,314,452,8,1
oe,26.0,323,449,337,451,8,1
000000111,88.0,26,450,91,474,8,2
1,71.0,172,455,178,467,8,2
"170,00",71.0,198,453,241,466,8,2
"170,00",62.0,271,454,313,466,8,2
KINGS,96.0,27,475,66,487,8,3
SAFETY,96.0,71,475,118,487,8,3
‘POO4,23.0,172,475,201,486,8,3
SHOES,93.0,27,492,69,504,8,4
KWD,82.0,74,492,103,504,8,4
805,96.0,109,492,130,504,8,4
“Qty,24.0,22,517,55,537,8,5
T,65.0,63,522,68,534,8,5
Total,92.0,80,521,113,534,8,5
Ttem,86.0,120,521,151,535,8,5
Discount:,69.0,158,521,219,535,8,5
0.00,74.0,286,521,314,534,8,5
Total,96.0,123,543,155,556,9,1
Amount:,95.0,162,543,215,556,9,1
170.00,88.0,272,543,314,556,9,1
ODO...,22.0,281,564,337,583,10,1
170.00,94.0,256,591,314,604,10,2
TOTAL:,95.0,160,591,219,604,13,1
VISA,94.0,128,617,159,629,13,2
CARD,95.0,164,617,199,629,13,2
170.00,93.0,271,617,314,629,13,2
2600000000043,54.0,80,638,199,650,13,3
18,83.0,182,634,200,658,13,3
Approval,93.0,76,660,132,675,14,1
Code:123,81.0,138,659,200,672,14,1
I.,19.0,312,667,358,711,14,1
WO,57.0,364,672,387,700,14,1
Goods,96.0,35,733,75,745,15,1
Sold,96.0,80,734,107,745,15,1
Are,95.0,113,734,134,745,15,1
Not,93.0,140,734,162,745,15,1
Returnable,75.0,167,733,237,745,15,1
&,93.0,243,733,251,745,15,1
Refundable,96.0,257,733,329,746,15,1
You.,83.0,124,752,147,764,15,2
Please,94.0,158,752,199,764,15,2
Come,93.0,204,752,241,763,15,2
Again.****,79.0,246,752,319,766,15,2
